"1","admin@axi.co.za","4c79273eed3d095e55d1224f6524ae92","Admin"
"2","ijaazlagardien@gmail.com","b8277a0f6001e7546da0496914432af2","Customer"
"3","mm93@repsol.com","b762f655cb3846b56eb9c5b03a73dd8a","Customer"
"4","jl99@ducati.co.it","e5a2dac4a437f9f432d03ef04c13bde0","Customer"
"5","dp26@repsol.com","914750cc44c8bb149a00009343707a21","Customer"
"6","cs27@ducati.co.it","1ffdb624c5059293900ca6e275af2be7","Customer"
"7","dovi@ducati.co.it","82035f3a1e1ca4d7eed0e71de67729b3","Customer"
"8","rossi46@yamaha.com","1342a0d6cf3ef52e52464155b7a99cfd","Customer"
"9","noreply@axi.co.za","ee84e398e9f8beced3367d29710261bb","Admin"
"10","ironman@marvel.com","21b308bfc6ac966579fb9ddb76dad336","Customer"
"11","captain@marvel.com","350f56b411e7f60a506d27d8838e5ce4","Customer"
"12","blackwidow@marvel.com","f93e5f51dc84b7bd32a98b36fb52724c","Customer"
"13","hulk@marvel.com","4b4c8a7668780db86b235c052cb22278","Customer"
"14","hawkeye@marvel.com","c365c79e2344dedef392ccabe27bfd03","Customer"
"15","theflash@dc.com","3e6993a36906d2f8b6e3cfe29fd402c9","Customer"
"16","vettel@scuderia.co.it","31b0fd499aaf2603cfaaf9f5415e094f","Customer"
"17","kimi@ferrari.co.it","00da63b7615ef68707982b419f65f4b9","Customer"
"18","pogba@mufc.co.uk","da233b0bbda0804198a17f7debef5f12","Customer"
"19","messi@fcb.co.es","4ec8bd21af4517c1d55359138cec64fe","Customer"
"20","cr7@realmadrid.co.es","6444b7a6315abb50cbf0b310a896bb00","Customer"
"21","gmail@zlatan.com","4bfb267581d77804409a8299cb4816f4","Customer"
"22","griezmann@atleti.co.es","51262869d40b02b7fe976f8ff306f5de","Customer"
